순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수
1,189114943,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",https://www.yes24.com/product/goods/189114943,차진우,골든래빗,2026년 05월,"25,200","28,000",10%,"38,511"
2,167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,https://www.yes24.com/product/goods/167573138,조태호,한빛미디어,2025년 12월,"27,000","30,000",10%,"80,778"
3,192148896,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,https://www.yes24.com/product/goods/192148896,코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,"19,800","22,000",10%,"13,017"
4,176901674,이게 되네? 제미나이 완전 미친 활용법 81제,https://www.yes24.com/product/goods/176901674,오힘찬,골든래빗,2026년 02월,"21,600","24,000",10%,"77,754"
5,169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,"안익재, 황의태",앤써북,2025년 12월,"17,820","19,800",10%,"45,189"
6,150566390,"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,류한석,코리아닷컴(Korea.com),2025년 08월,"24,300","27,000",10%,"77,439"
7,193587161,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],https://www.yes24.com/product/goods/193587161,스튜디오 홍차,골든래빗,2026년 07월,"23,220","25,800",10%,"4,080"
8,189818905,하네스 엔지니어링 with 클로드 코드,https://www.yes24.com/product/goods/189818905,황민호,한빛미디어,2026년 06월,"27,000","30,000",10%,"20,373"
9,183751609,한눈에 보는 AI 반도체 산업,https://www.yes24.com/product/goods/183751609,MrTrigger,한빛미디어,2026년 03월,"23,400","26,000",10%,"16,320"
10,189413191,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/189413191,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,"19,800","22,000",10%,"11,907"
11,189211422,클로드 코드로 시작하는 실전 에이전틱 코딩,https://www.yes24.com/product/goods/189211422,Goos Kim,더 타이즈,2026년 05월,"29,700","33,000",10%,"21,165"
12,192877325,챗GPT · 제미나이 · 클로드까지 모두를 위한 AI,https://www.yes24.com/product/goods/192877325,지현이,시프트,2026년 07월,"19,800","22,000",10%,"5,445"
13,185897982,바쁜 교사를 위한 바로 쓰는 AI,https://www.yes24.com/product/goods/185897982,"전소영, 이태화, 조두연",사회평론아카데미,2026년 04월,"21,600","24,000",10%,"20,301"
14,193389466,현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!),https://www.yes24.com/product/goods/193389466,"권수정, 장은정, 이민화, 강미나, 유지민",광문각출판미디어,2026년 07월,"19,000","19,000",,"4,560"
15,145426898,요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/145426898,"박진환, 공지훈, 서원진",한빛미디어,2025년 05월,"18,000","20,000",10%,"82,788"
16,106711883,진짜 쓰는 실무 엑셀,https://www.yes24.com/product/goods/106711883,전진권,제이펍,2022년 02월,"18,900","21,000",10%,"66,714"
17,189531001,일 잘하는 직장인의 AI 활용법,https://www.yes24.com/product/goods/189531001,"김덕중, 김민정, 김인선",디지털북스,2026년 05월,"19,800","22,000",10%,"9,102"
18,188182444,된다! 캡컷 영상 편집,https://www.yes24.com/product/goods/188182444,지민이,이지스퍼블리싱,2026년 05월,"19,800","22,000",10%,"10,932"
19,189855418,"조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프",https://www.yes24.com/product/goods/189855418,조동근,한빛미디어,2026년 05월,"27,000","30,000",10%,"12,858"
20,119293186,Do it! 점프 투 파이썬,https://www.yes24.com/product/goods/119293186,박응용,이지스퍼블리싱,2023년 06월,"19,800","22,000",10%,"40,560"
21,189634812,교사를 위한 AI 에듀테크 수업·생활·업무 대백과,https://www.yes24.com/product/goods/189634812,"송해남, 한의표, 김은서, 박수임, 김혜진 저 외 1명
                                        
정보 더 보기/감추기



송해남
한의표
김은서
박수임
김혜진
유영재",프리렉,2026년 05월,"24,300","27,000",10%,"9,576"
22,186846424,클로드 코드 마스터,https://www.yes24.com/product/goods/186846424,"이남희, 백승현",한빛미디어,2026년 04월,"32,400","36,000",10%,"14,175"
23,163301895,된다! 하루 만에 끝내는 제미나이 활용법,https://www.yes24.com/product/goods/163301895,권서림,이지스퍼블리싱,2025년 11월,"18,000","20,000",10%,"75,963"
24,159167901,3줄의 글로 수익을 만드는 스레드 운영법,https://www.yes24.com/product/goods/159167901,이동영,한빛미디어,2025년 10월,"18,000","20,000",10%,"13,728"
25,192127768,"클로드 올인원 with 코워크, 코드, 디자인",https://www.yes24.com/product/goods/192127768,"클리커, 강민혁",한빛미디어,2026년 06월,"28,800","32,000",10%,"4,476"
26,109625396,혼자 공부하는 파이썬,https://www.yes24.com/product/goods/109625396,윤인성,한빛미디어,2022년 06월,"19,800","22,000",10%,"21,984"
27,193444437,UX의 언어들,https://www.yes24.com/product/goods/193444437,"한성희, 신행철",파지트,2026년 07월,"15,300","17,000",10%,"1,830"
28,180953300,슈퍼휴먼 슈퍼워크,https://www.yes24.com/product/goods/180953300,"유호현, 김진실",골든래빗,2026년 03월,"21,600","24,000",10%,"4,815"
29,192505185,피지컬 AI 시스템 설계,https://www.yes24.com/product/goods/192505185,엥지유니버스,한빛미디어,2026년 06월,"27,000","30,000",10%,"6,747"
30,187173505,바이브 코더를 위한 최소한의 AI/IT 지식,https://www.yes24.com/product/goods/187173505,"클리커, 이희영",한빛미디어,2026년 04월,"19,800","22,000",10%,"6,813"
31,192876161,교사와 학부모를 위한 바이브 코딩,https://www.yes24.com/product/goods/192876161,"황건호, 신종환, 김형규, 김명휘",씨마스21,2026년 07월,"24,300","27,000",10%,"2,832"
32,189212536,지적 대화를 위한 AI 언어 수업,https://www.yes24.com/product/goods/189212536,강수진,어웨이크(AWAKE),2026년 05월,"18,000","20,000",10%,"11,262"
33,189114942,바로바로 제미나이 X 구글 AI,https://www.yes24.com/product/goods/189114942,공냥이,골든래빗,2026년 06월,"21,600","24,000",10%,"10,233"
34,183538633,요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/183538633,"박진환, 서원진, 박권",한빛미디어,2026년 04월,"21,600","24,000",10%,"12,015"
35,183674597,"클로드 코워크 with 스킬, 플러그인",https://www.yes24.com/product/goods/183674597,"클리커, 강민혁",한빛미디어,2026년 03월,"23,400","26,000",10%,"12,588"
36,191481932,"요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오",https://www.yes24.com/product/goods/191481932,"송명신, 최연준, 최수진, 양서현",앤써북,2026년 06월,"15,930","17,700",10%,"5,406"
37,184533580,학교에서 바로 쓰는 제미나이 & 노트북LM,https://www.yes24.com/product/goods/184533580,"손성호, 김민, 김상백, 송유미, 박권 저 외 1명
                                        
정보 더 보기/감추기



손성호
김민
김상백
송유미
박권
최동욱",학교도서관저널,2026년 04월,"17,100","19,000",10%,"12,090"
38,184275427,세컨드 브레인은 옵시디언 with 클로드 코드,https://www.yes24.com/product/goods/184275427,시안,골든래빗,2026년 04월,"23,750","25,000",5%,"6,423"
39,175110068,요즘 바이브 코딩 코덱스 완벽 가이드,https://www.yes24.com/product/goods/175110068,윤재원,골든래빗,2026년 02월,"25,200","28,000",10%,"6,675"
40,144648441,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,https://www.yes24.com/product/goods/144648441,"지미정, 장성진, 유병선",앤써북,2025년 04월,"21,960","24,400",10%,"18,465"
41,193361186,AI가 두려운 당신에게,https://www.yes24.com/product/goods/193361186,"배경훈, 과학기술정보통신부",한빛미디어,2026년 07월,"16,020","17,800",10%,"6,630"
42,192878493,딥 유토피아,https://www.yes24.com/product/goods/192878493,닉 보스트롬 저/김의석 역,까치(까치글방),2026년 05월,"25,200","28,000",10%,"1,416"
43,192509680,요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정,https://www.yes24.com/product/goods/192509680,"김태선, 조민의",한빛미디어,2026년 06월,"18,900","21,000",10%,"2,331"
44,191211795,Do it! AI 시대에 살아남는 프런트엔드 면접의 기술,https://www.yes24.com/product/goods/191211795,정희,이지스퍼블리싱,2026년 06월,"32,400","36,000",10%,"5,289"
45,191700749,중국 AI 미래 지도,https://www.yes24.com/product/goods/191700749,임선영 저/정진호 그림,책만,2026년 06월,"24,300","27,000",10%,"6,645"
46,191693950,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,https://www.yes24.com/product/goods/191693950,조훈,길벗,2026년 06월,"21,600","24,000",10%,"5,208"
47,193160264,원하는 대로 튜닝하는 나만의 sLLM,https://www.yes24.com/product/goods/193160264,오지영,길벗,2026년 07월,"30,600","34,000",10%,"1,002"
48,192695313,"돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]",https://www.yes24.com/product/goods/192695313,김경은(단아쌤),골든래빗,2026년 07월,"23,220","25,800",10%,"1,818"
49,183545796,제미나이 교사 마스터 플랜 (2026년 최신판),https://www.yes24.com/product/goods/183545796,한민철,책바세,2026년 04월,"27,000","30,000",10%,"9,642"
50,143907967,된다! 조회수 터지는 유튜브 쇼츠 만들기,https://www.yes24.com/product/goods/143907967,최지영,이지스퍼블리싱,2025년 04월,"19,800","22,000",10%,"24,297"
51,193044742,한 권으로 끝내는 제미나이 재테크,https://www.yes24.com/product/goods/193044742,조성호,한빛미디어,2026년 07월,"18,900","21,000",10%,"1,170"
52,192564690,"딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트",https://www.yes24.com/product/goods/192564690,LearnAI Team,위키북스,2026년 07월,"23,400","26,000",10%,"1,800"
53,152644865,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오",https://www.yes24.com/product/goods/152644865,"현병욱(오땡큐), 신수진",시프트,2025년 09월,"18,000","20,000",10%,"20,778"
54,116860343,AI 2041,https://www.yes24.com/product/goods/116860343,"리카이푸, 천치우판 저/이현 역",한빛비즈,2023년 01월,"26,820","29,800",10%,"10,035"
55,192277218,이게 되네? AI 실무 올인원 미친 활용법 71제,https://www.yes24.com/product/goods/192277218,이석현,골든래빗,2026년 07월,"23,400","26,000",10%,"2,643"
56,187491806,이게 되네? 캔바 AI 미친 활용법 47제,https://www.yes24.com/product/goods/187491806,이지쌤(이지훈),골든래빗,2026년 05월,"21,600","24,000",10%,"5,715"
57,192877328,슬기로운 교사 생활 캔바 AI 수업 활용법,https://www.yes24.com/product/goods/192877328,미나리쌤,골든래빗,2026년 07월,"21,420","23,800",10%,"1,380"
58,146955725,된다! 하루 만에 끝내는 챗GPT 활용법,https://www.yes24.com/product/goods/146955725,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,"18,000","20,000",10%,"31,548"
59,192529089,리더의 AI 노트,https://www.yes24.com/product/goods/192529089,김지현,한빛미디어,2026년 06월,"21,600","24,000",10%,"4,449"
60,193050689,90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제,https://www.yes24.com/product/goods/193050689,최우진,앤써북,2026년 07월,"15,930","17,700",10%,"2,433"
61,112941801,회사는 엑셀을 가르쳐주지 않아요,https://www.yes24.com/product/goods/112941801,쏘피(박성희),메가스터디북스,2022년 09월,"16,200","18,000",10%,"15,042"
62,191698395,검색은 끝났다 AEO·GEO 마케팅,https://www.yes24.com/product/goods/191698395,"주민건, 한용희, 김진용",골든래빗,2026년 06월,"21,600","24,000",10%,"3,696"
63,189674360,"다시, 소프트웨어 엔지니어",https://www.yes24.com/product/goods/189674360,"네서니얼 슈타, 댄 베가 저/박성철 역",책만,2026년 05월,"27,000","30,000",10%,"6,180"
64,185714339,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",https://www.yes24.com/product/goods/185714339,김용성,프리렉,2026년 04월,"22,500","25,000",10%,"3,249"
65,143912145,혼자 공부하는 머신러닝+딥러닝,https://www.yes24.com/product/goods/143912145,박해선,한빛미디어,2025년 04월,"28,800","32,000",10%,"18,123"
66,189128697,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,https://www.yes24.com/product/goods/189128697,황은지,제이펍,2026년 05월,"19,800","22,000",10%,"5,172"
67,142814138,된다! 하루 만에 준비하는 AI 학교 수업 활용법,https://www.yes24.com/product/goods/142814138,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,"17,820","19,800",10%,"17,421"
68,118982111,혼자 공부하는 C 언어,https://www.yes24.com/product/goods/118982111,서현우,한빛미디어,2023년 05월,"23,400","26,000",10%,"10,794"
69,192047818,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,https://www.yes24.com/product/goods/192047818,엄태효,위키북스,2026년 06월,"25,200","28,000",10%,"3,009"
70,190852162,클로드 코워크,https://www.yes24.com/product/goods/190852162,신승희,생능북스,2026년 06월,"21,600","24,000",10%,"2,853"
71,192470678,아키텍처는 진화한다,https://www.yes24.com/product/goods/192470678,공상휘,인사이트(insight),2026년 07월,"25,200","28,000",10%,"1,866"
72,188266803,AI시대에 난생처음 들어보는 데이터센터 이야기,https://www.yes24.com/product/goods/188266803,김주회,북플레이트,2026년 04월,"19,800","22,000",10%,"11,298"
73,191173742,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),https://www.yes24.com/product/goods/191173742,조블리,제이펍,2026년 06월,"23,400","26,000",10%,"2,664"
74,176901915,"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!",https://www.yes24.com/product/goods/176901915,"임우균, 서지원",앤써북,2026년 02월,"15,120","16,800",10%,"2,640"
75,192533233,그림으로 이해하는 IT 인프라 구조와 기술,https://www.yes24.com/product/goods/192533233,"츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카 저/김성훈 역",길벗,2026년 06월,"19,800","22,000",10%,"1,644"
76,192164452,클로드 코워크 시작하기,https://www.yes24.com/product/goods/192164452,조남경,비엘북스,2026년 07월,"25,200","28,000",10%,"2,274"
77,191485571,AI 냄새 지우기,https://www.yes24.com/product/goods/191485571,벤진 리드,자이언톡,2026년 06월,"17,820","19,800",10%,"2,187"
78,189520507,된다! 스레드 활용법,https://www.yes24.com/product/goods/189520507,거북이걸음,이지스퍼블리싱,2026년 06월,"19,800","22,000",10%,"2,976"
79,185824258,돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,https://www.yes24.com/product/goods/185824258,정소희,골든래빗,2026년 04월,"23,220","25,800",10%,"3,408"
80,180508055,된다! 조회수 터지는 인스타그램 릴스 만들기,https://www.yes24.com/product/goods/180508055,최지영,이지스퍼블리싱,2026년 03월,"18,900","21,000",10%,"4,086"
81,176410996,맛있는 디자인 포토샵&일러스트레이터 CC 2026,https://www.yes24.com/product/goods/176410996,"박정아, 윤이사라",한빛미디어,2026년 02월,"23,400","26,000",10%,"5,583"
82,191321951,7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판),https://www.yes24.com/product/goods/191321951,홍순성,한빛미디어,2026년 06월,"22,500","25,000",10%,"1,938"
83,189790267,Do it! 유니티 6로 게임 제작 & 출시하기,https://www.yes24.com/product/goods/189790267,고정운,이지스퍼블리싱,2026년 05월,"32,400","36,000",10%,"2,184"
84,187927629,AI 실전 마스터 칼릭스의 프롬프트 디테일,https://www.yes24.com/product/goods/187927629,칼릭스(손윤석),한빛비즈,2026년 04월,"19,800","22,000",10%,"6,015"
85,185269651,n8n이 다 해줌,https://www.yes24.com/product/goods/185269651,"이인영, 임정",한빛미디어,2026년 04월,"25,200","28,000",10%,"2,352"
86,184310483,한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편),https://www.yes24.com/product/goods/184310483,"서민우, 전현희, 이현아, 박찬호",앤써북,2026년 04월,"22,950","25,500",10%,"2,955"
87,146036009,Do it! LLM을 활용한 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/146036009,이성용,이지스퍼블리싱,2025년 05월,"31,500","35,000",10%,"15,042"
88,111378840,혼자 공부하는 컴퓨터 구조+운영체제,https://www.yes24.com/product/goods/111378840,강민철,한빛미디어,2022년 08월,"25,200","28,000",10%,"12,456"
89,190806231,요즘 바이브 코딩 하네스 with 클로드 코드,https://www.yes24.com/product/goods/190806231,조성진,골든래빗,2026년 06월,"27,000","30,000",10%,"2,817"
90,180513899,클로드 코드를 활용한 바이브 코딩 완벽 입문,https://www.yes24.com/product/goods/180513899,히라카와 토모히데 저/최용 역,위키북스,2026년 03월,"23,400","26,000",10%,"14,439"
91,193691277,"누구나 성공하는 AI 비서, 오픈클로",https://www.yes24.com/product/goods/193691277,"박권, 임세범, 홍성용, 정용석, 김경상 저 외 2명
                                        
정보 더 보기/감추기



박권
임세범
홍성용
정용석
김경상
김준오
강현수",책밥,2026년 07월,"21,600","24,000",10%,600
92,193681748,AI 영상 제작,https://www.yes24.com/product/goods/193681748,"문수민, 민지영, 신호진, 강경희, 앤미디어",길벗,2026년 07월,"24,300","27,000",10%,660
93,192962342,벡터 데이터베이스 설계와 구축,https://www.yes24.com/product/goods/192962342,송기상,아이리포,2026년 07월,"17,820","19,800",10%,636
94,192662784,생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼),https://www.yes24.com/product/goods/192662784,장미희,박문각,2026년 07월,"20,900","22,000",5%,960
95,189629427,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),https://www.yes24.com/product/goods/189629427,"송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,"19,000","19,000",,"2,601"
96,188882750,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,https://www.yes24.com/product/goods/188882750,씨엠제이(최민정),한빛미디어,2026년 05월,"16,200","18,000",10%,"2,982"
97,183919456,모두의 노션 AI,https://www.yes24.com/product/goods/183919456,"임대균, 오가연",생능북스,2026년 04월,"15,120","16,800",10%,"2,835"
98,183539313,AI 시대 서·논술형 평가 설계 바이블,https://www.yes24.com/product/goods/183539313,"조현준, 이근숙, 권좌실, 이슬기, 엄주연 저 외 1명
                                        
정보 더 보기/감추기



조현준
이근숙
권좌실
이슬기
엄주연
오덕수",에듀니티교육연구소(에듀니티),2026년 03월,"19,800","22,000",10%,"8,475"
99,174018513,AI 에이전트 엔지니어링,https://www.yes24.com/product/goods/174018513,마이클 알바다 저/강민혁 역,한빛미디어,2026년 01월,"28,800","32,000",10%,"11,907"
100,169665962,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,https://www.yes24.com/product/goods/169665962,천은영,골든래빗,2026년 01월,"23,400","26,000",10%,"7,968"
101,165239801,대체불가 AI 영상 제작 완전정복,https://www.yes24.com/product/goods/165239801,이용태,책바세,2025년 12월,"26,100","29,000",10%,"9,654"
102,154925812,AI 엔지니어링,https://www.yes24.com/product/goods/154925812,칩 후옌 저/변성윤 역,한빛미디어,2025년 09월,"36,000","40,000",10%,"14,601"
103,147074475,업무와 일상을 정리하는 새로운 방법 노션,https://www.yes24.com/product/goods/147074475,전시진,제이펍,2025년 06월,"21,600","24,000",10%,"6,468"
104,146828240,핸즈온 LLM,https://www.yes24.com/product/goods/146828240,"제이 알아마르, 마르턴 흐루턴도르스트 저/박해선 역",한빛미디어,2025년 06월,"34,200","38,000",10%,"6,258"
105,144979816,질문으로 답을 찾는 인공지능 윤리 수업,https://www.yes24.com/product/goods/144979816,박형빈,한언,2025년 04월,"18,900","21,000",10%,"7,848"
106,142201171,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,https://www.yes24.com/product/goods/142201171,김지희,시프트,2025년 03월,"20,700","23,000",10%,"11,670"
107,191479539,바로바로 챗GPT X 덕테이프 X 코덱스,https://www.yes24.com/product/goods/191479539,박현규,골든래빗,2026년 06월,"21,600","24,000",10%,"1,818"
108,193667871,하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩,https://www.yes24.com/product/goods/193667871,그릿지선(이지선),호호북앤드림,2026년 07월,"17,820","19,800",10%,540
109,193184189,색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정,https://www.yes24.com/product/goods/193184189,전수연,디지털북스,2026년 07월,"19,800","22,000",10%,810
110,193157707,ComfyUI 독학노트,https://www.yes24.com/product/goods/193157707,"김한호, 김홍일, 권구영, 윤택한, 최태온 저 외 2명
                                        
정보 더 보기/감추기



김한호
김홍일
권구영
윤택한
최태온
김나래
안현준",성안당,2026년 07월,"34,200","38,000",10%,504
111,193084292,요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품,https://www.yes24.com/product/goods/193084292,시몬,골든래빗,2026년 07월,"30,600","34,000",10%,690
112,190210781,이게 되네? 클로드 MCP 커넥터 미친 활용법 31제,https://www.yes24.com/product/goods/190210781,"박현규, 김성경",골든래빗,2026년 06월,"21,600","24,000",10%,"2,196"
113,188859248,알고 나면 무조건 써먹는 실무 엑셀,https://www.yes24.com/product/goods/188859248,정훈희,한빛미디어,2026년 05월,"20,700","23,000",10%,"2,262"
114,187039263,퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,https://www.yes24.com/product/goods/187039263,권현욱,디지털북스,2026년 04월,"19,800","22,000",10%,"2,868"
115,186833195,자연은 왜 이토록 단순하면서도 아름다운가,https://www.yes24.com/product/goods/186833195,"로버트 칸, 크리스 퀴그 저/박병철 역",알에이치코리아(RHK),2026년 04월,"31,500","35,000",10%,"5,370"
116,179619230,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026,https://www.yes24.com/product/goods/179619230,"심수진, 윤성우, 이수정",한빛미디어,2026년 03월,"24,300","27,000",10%,"3,669"
117,175525819,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,https://www.yes24.com/product/goods/175525819,Dave Lee,길벗,2026년 02월,"28,800","32,000",10%,"7,374"
118,167719977,"서논술형 평가, AI로 깊이를 더하다",https://www.yes24.com/product/goods/167719977,"지미정, 장희영, 권의선, 이진원, 김수경 저 외 1명
                                        
정보 더 보기/감추기



지미정
장희영
권의선
이진원
김수경
박범진",앤써북,2025년 12월,"22,950","25,500",10%,"6,618"
119,154182485,처음이지만 프로처럼 쓰는 노션 Notion,https://www.yes24.com/product/goods/154182485,박한용,디지털북스,2025년 09월,"22,500","25,000",10%,"7,236"
120,151066074,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,https://www.yes24.com/product/goods/151066074,"전미진, 이화진, 신면철",한빛미디어,2025년 08월,"24,300","27,000",10%,"14,736"
121,143539772,한 권으로 끝내는 아두이노 입문+실전 (종합편),https://www.yes24.com/product/goods/143539772,"서민우, 코코랩스",앤써북,2025년 03월,"19,800","22,000",10%,"2,946"
122,140835200,이게 되네? 챗GPT 미친 활용법 71제,https://www.yes24.com/product/goods/140835200,오힘찬,골든래빗,2025년 01월,"21,600","24,000",10%,"24,804"
123,125830483,혼자 공부하는 네트워크,https://www.yes24.com/product/goods/125830483,강민철,한빛미디어,2024년 04월,"25,200","28,000",10%,"8,682"
124,122966082,F1 레이스카의 공기역학,https://www.yes24.com/product/goods/122966082,윤재수 저/김효원 감수,골든래빗,2023년 11월,"45,000","50,000",10%,"2,748"
125,113485068,후니의 쉽게 쓴 시스코 네트워킹,https://www.yes24.com/product/goods/113485068,진강훈 등,성안당,2024년 08월,"38,700","43,000",10%,"4,914"
126,104661489,혼자 공부하는 SQL,https://www.yes24.com/product/goods/104661489,우재남,한빛미디어,2021년 11월,"21,600","24,000",10%,"5,094"
127,192469511,주인의 눈,https://www.yes24.com/product/goods/192469511,맛떼오 파스퀴넬리 저/이광석 해제/김상민 역,동녘,2026년 06월,"27,000","30,000",10%,"1,182"
128,192583611,AI 자율학습 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/192583611,박경민,길벗,2026년 07월,"28,800","32,000",10%,"1,194"
129,191507359,AI 에이전트 실행 세계 2 : 설계편,https://www.yes24.com/product/goods/191507359,조쉬,로드북,2026년 06월,"31,500","35,000",10%,"2,010"
130,192630668,혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실,https://www.yes24.com/product/goods/192630668,"박창민, 이승우, 이슬민, 김동환, 김민 저 외 3명
                                        
정보 더 보기/감추기



박창민
이승우
이슬민
김동환
김민
김태현
이운희
이현석",한빛미디어,2026년 07월,"20,700","23,000",10%,696
131,187703288,만들면서 배우는 AI 에이전트 개발 입문+실전,https://www.yes24.com/product/goods/187703288,박나연(공원나연),한빛미디어,2026년 05월,"33,300","37,000",10%,"4,440"
132,187024885,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,https://www.yes24.com/product/goods/187024885,불혹코딩,골든래빗,2026년 05월,"23,400","26,000",10%,"3,846"
133,181178233,AI 국부론,https://www.yes24.com/product/goods/181178233,이승현,골든래빗,2026년 03월,"25,200","28,000",10%,"3,588"
134,174197933,무조건 도움되는 유아교사 업무경감,https://www.yes24.com/product/goods/174197933,"김나영, 남동윤, 이영은, 장효정, 최지이 저 외 1명
                                        
정보 더 보기/감추기



김나영
남동윤
이영은
장효정
최지이
황경미",교육과실천,2026년 01월,"22,950","25,500",10%,"2,979"
135,172059324,AI 로봇 구조 교과서,https://www.yes24.com/product/goods/172059324,유승남,보누스,2026년 01월,"20,700","23,000",10%,"2,088"
136,167452848,나는 오렌지3로 인공지능한다,https://www.yes24.com/product/goods/167452848,"장병철, 서미란, 박지훈, 정종호",씨마스,2025년 12월,"20,700","23,000",10%,"5,562"
137,154099735,밑바닥부터 만들면서 배우는 LLM,https://www.yes24.com/product/goods/154099735,세바스찬 라시카 저/박해선 역,길벗,2025년 09월,"36,000","40,000",10%,"11,910"
138,152079426,바로 배워서 바로 써먹는 바이브 코딩,https://www.yes24.com/product/goods/152079426,"박찬, 김병석, 전수연, 김지용, 구현희 저 외 3명
                                        
정보 더 보기/감추기



박찬
김병석
전수연
김지용
구현희
전채원
홍찬우
이상선",다빈치books,2025년 09월,"19,800","22,000",10%,"21,051"
139,150009333,보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책,https://www.yes24.com/product/goods/150009333,박경수,한빛비즈,2025년 08월,"19,800","22,000",10%,"3,888"
140,129392318,디자인 구구단,https://www.yes24.com/product/goods/129392318,에이핫,길벗,2024년 08월,"18,000","20,000",10%,"5,952"
141,127086566,그림으로 이해하는 서버 구조와 기술,https://www.yes24.com/product/goods/127086566,"요코타 카즈키, 엔도 유키 저/김성훈 역",길벗,2024년 06월,"19,800","22,000",10%,"2,484"
142,125606390,Do it! C++ 완전 정복,https://www.yes24.com/product/goods/125606390,"조규남, 문종채",이지스퍼블리싱,2024년 03월,"28,800","32,000",10%,"4,260"
143,125293471,오토캐드 40시간 완성,https://www.yes24.com/product/goods/125293471,신동진,피앤피북,2024년 03월,"18,000","20,000",10%,"3,321"
144,124806989,모두의 네트워크 기초,https://www.yes24.com/product/goods/124806989,서지영,길벗,2024년 01월,"21,600","24,000",10%,"2,178"
145,122338517,핸즈온 머신러닝,https://www.yes24.com/product/goods/122338517,오렐리앙 제롱 저/박해선 역,한빛미디어,2023년 09월,"54,000","60,000",10%,"4,476"
